model,qos,mse,mae
MCDLSTM,NO_QOS,0.002068030780908928,0.03390599167512373
MCDLSTM,90,0.002068030886634483,0.03390599694157509
MCDLSTM,91,0.002068030891519343,0.033905997184867816
MCDLSTM,92,0.0020680308968261483,0.03390599744917233
MCDLSTM,93,0.0020680309026613482,0.033905997739789306
MCDLSTM,94,0.002068030909178454,0.03390599806436293
MCDLSTM,95,0.0020680309166113795,0.03390599843454087
MCDLSTM,96,0.0020680309253442893,0.03390599886945229
MCDLSTM,97,0.002068030936080558,0.033905999404120604
MCDLSTM,98,0.00206803095035301,0.033906000114868974
MCDLSTM,99,0.002068030972849211,0.033906001235096385
HBNN,NO_QOS,0.005862803756676761,0.05507856979953394
HBNN,90,0.013425384182172177,0.09642587157473134
HBNN,91,0.013975456522409026,0.09903724932459979
HBNN,92,0.014593122798777588,0.10190423214052287
HBNN,93,0.015296426365859638,0.10509829699855568
HBNN,94,0.01611180292979796,0.10872602849064254
HBNN,95,0.017080251201732434,0.11290936771300494
HBNN,96,0.01827047903052918,0.11786653226750493
HBNN,97,0.019811331792709778,0.12402411240322284
HBNN,98,0.021992162008215573,0.1322755208593131
HBNN,99,0.025736526533701325,0.14540201679195136
HBNN++,NO_QOS,0.009376300999237301,0.0755649909627305
HBNN++,90,0.021030917228986364,0.12687653839218488
HBNN++,91,0.021923295602663134,0.13019241190685837
HBNN++,92,0.022928170458272123,0.13383473161121592
HBNN++,93,0.024075669799409012,0.1378996263108458
HBNN++,94,0.025409973786641827,0.1424845477945332
HBNN++,95,0.02699966706871718,0.1477913816056289
HBNN++,96,0.02895981231057458,0.15410009605373653
HBNN++,97,0.03150645371414367,0.16199426826540533
HBNN++,98,0.03512551386870766,0.17268935562433
HBNN++,99,0.04137122583021014,0.18973756616586782
LSTMQ,NO_QOS,0.007061449882076253,0.07531733778658253
LSTMQ,90,NA,NA
LSTMQ,91,NA,NA
LSTMQ,92,NA,NA
LSTMQ,93,NA,NA
LSTMQ,94,NA,NA
LSTMQ,95,NA,NA
LSTMQ,96,NA,NA
LSTMQ,97,NA,NA
LSTMQ,98,NA,NA
LSTMQ,99,NA,NA
LSTM,NO_QOS,0.0032931226669689773,0.04235054682901876
LSTM,90,0.004161425375058312,0.05003990212740896
LSTM,91,0.0042094758396867575,0.05044703497255133
LSTM,92,0.004262470580584114,0.050891503125874184
LSTM,93,0.004321696105662422,0.05138837407585302
LSTM,94,0.004389024123755606,0.05194959696615811
LSTM,95,0.004467334998893673,0.05259758379499462
LSTM,96,0.00456141358783713,0.05336732422833977
LSTM,97,0.004680141010699827,0.054328062694104055
LSTM,98,0.004843210066761051,0.05562763550518383
LSTM,99,0.005112372845293607,0.05772282397340057
PROPHET,NO_QOS,0.033491983269938165,0.14978037264199512
PROPHET,90,0.07089719260044086,0.2350618778522478
PROPHET,91,0.07316831618263656,0.239497922006344
PROPHET,92,0.07568994151089838,0.24435084492889958
PROPHET,93,0.07852794570530436,0.24973241323868137
PROPHET,94,0.08177845445253994,0.2557674992230052
PROPHET,95,0.0855898797222775,0.26269859189416983
PROPHET,96,0.09020968200141702,0.27090502923178317
PROPHET,97,0.0960991845020418,0.2810986184765743
PROPHET,98,0.10428690171478708,0.2947931050395454
PROPHET,99,0.11802281048135303,0.31666943208604104
