,avggpu,std,labels
0,27846900.71224476,1841438.445768036,29189797.053941973
1,27826282.325348392,2067568.9229027368,29408050.413501136
2,27839614.312831234,1837519.3510168716,29024814.268700138
3,27834417.364285853,1813176.8667494133,29216454.803432565
4,27856766.39759019,1962663.3026349377,29388020.80367748
5,27848231.46854107,1934410.2805582453,30371843.02126449
6,27846187.149138466,1986239.1893836223,30863500.450889263
7,27852289.477237936,1693103.0574076027,30699243.31900901
8,27865719.654197864,1841130.1920045372,29119026.82726398
9,27869051.4041404,1816437.782173084,28770940.59528918
10,27897543.121417355,1823674.8835645523,28770164.86530669
11,27904330.06989816,1851684.5626000278,28969389.796092987
12,27897451.2179889,1873861.3852214292,28940653.98779592
13,27936103.30788691,1922571.7737197895,28780082.969231475
14,27974576.111825343,1836958.0338905342,29008268.581863936
15,27926233.928564098,1844695.2348592505,28971945.1713922
16,27921505.077804614,1876595.0303657167,28898126.89042512
17,27950705.408192456,2039080.6987579,28834026.76488271
18,27931177.89924579,1850898.7148089483,28728342.74928753
19,27951572.047571357,1862340.7272370905,29050241.450977422
20,27976758.471281737,1781683.358676225,29596379.90308595
21,27952581.787235063,1886010.170420019,29280148.45877483
22,27948746.23408353,1817112.2373055033,29322452.868268203
23,27999699.14134477,1937432.6841600444,29497372.06600964
24,27981186.789619856,1782613.0999869313,29303457.592332345
25,27990420.85546853,1754856.627581345,29779758.076630343
26,28010974.921007585,1877760.1577618308,29308866.97467545
27,27992384.25090543,1913897.7378302682,29333286.76294325
28,27991062.738417044,1805650.1265189014,29172576.100632258
29,28019507.062110137,1918815.178709086,29091803.425088096
30,28010849.963203188,1818085.5508782193,29613326.075112406
31,28027508.042202253,1775560.6734332684,30509290.597028658
32,28022174.03012992,1643648.7628322449,30345013.53396292
33,28035446.506853387,1764278.4499285165,30482662.55470075
34,28051419.78093345,1713606.6921866946,30776674.361058407
35,28046110.324698,2006496.6452722661,30976920.884563528
36,28054612.37866383,1892732.809001185,30579648.30381764
37,28098290.456404056,1937959.3093577046,30682786.097492475
38,28089483.36406604,1939299.3968969267,29958564.047522385
39,28102245.017678227,1753324.274330167,28707833.2917925
40,28121722.96000596,1866315.7252046932,27391543.322303087
41,28109688.66379768,1632153.1438229848,26913336.83387482
42,28119114.538542613,1773489.4089837167,26808653.47982446
43,28115196.686729107,1842532.716511611,27204965.759533204
44,28117682.28575687,1955163.1214898843,27343435.96675709
45,28138887.968720183,1910071.8949464858,28101487.703998324
46,28158763.192173027,1799393.1699376386,27520266.815543145
47,28148108.20023229,1985011.787329426,27517473.717473567
48,28118180.0447218,1944381.0903014075,27355790.71541471
49,28139446.147063985,1915433.4131876864,26645263.854622908
50,28194819.091511413,1874991.5385726262,27136258.348071944
51,28163242.225565866,1898627.6634083707,26506595.28636927
52,28146389.815158408,1808528.1446959693,26073554.73685797
53,28179268.985432398,1818613.1983790435,26715031.787418567
54,28187657.938888967,1813195.0062586367,26164369.781645257
55,28173960.728662465,1662303.3711303994,26989380.489741683
56,28209350.245245785,1999688.7028153427,27004163.03425892
57,28154485.44341805,1889441.6354228295,27289382.10288577
58,28185120.7866859,1716111.5229964294,26291992.25986039
59,28213365.75554139,1826910.8957108054,26310393.718411863
60,28177180.8372451,1697844.8709903993,25739500.47892293
