,model,pred_norm_gpu,pred_std,true_norm_gpu,true_gpu,true_n_gpu,pred_gpu,ub_90_norm,ub_90,pred_n_gpu_90,ub_91_norm,ub_91,pred_n_gpu_91,ub_92_norm,ub_92,pred_n_gpu_92,ub_93_norm,ub_93,pred_n_gpu_93,ub_94_norm,ub_94,pred_n_gpu_94,ub_95_norm,ub_95,pred_n_gpu_95,ub_96_norm,ub_96,pred_n_gpu_96,ub_97_norm,ub_97,pred_n_gpu_97,ub_98_norm,ub_98,pred_n_gpu_98,ub_99_norm,ub_99,pred_n_gpu_99
0,HBNN,0.7923700213432312,0.0581693686544895,0.8048845367014169,27951131.743086483,4017,27682142.351801492,0.8669170668091333,29284470.832612492,4209,0.8703608951733199,29358493.139418535,4219,0.874102146920821,29438908.321421243,4231,0.8782158537183735,29527329.123643905,4244,0.8828102197416013,29626081.307372708,4258,0.8880501183520455,29738708.69223556,4274,0.8942063248201785,29871031.373785082,4293,0.9017745980987888,30033705.28995558,4316,0.91183529884953,30249951.919839825,4347,0.9276922084469008,30590783.3734101,4396
1,HBNN,0.7874132990837097,0.058160800486803,0.8143601653995144,28154802.722152933,4046,27575601.6136909,0.8619493640008993,29177694.076483652,4193,0.8653926850998432,29251705.48003336,4204,0.8691333857725593,29332108.817129035,4216,0.8732464866338523,29420516.59524162,4228,0.8778401759212069,29519254.23307988,4242,0.8830793027108286,29631865.028278068,4259,0.8892346023888321,29764168.21910678,4278,0.8968017608842489,29926818.173913684,4301,0.9068609797249562,30143032.95133968,4332,0.9227155536486974,30483814.20149337,4381
2,HBNN,0.7841370105743408,0.058113720268011,0.7977216888181714,27797172.118056264,3995,27505180.440630235,0.8586127397634313,29105976.035720997,4183,0.8620532735501417,29179927.528247416,4194,0.8657909461867126,29260265.780153923,4205,0.8699007175599855,29348601.993612967,4218,0.8744906883308323,29447259.704944827,4232,0.879725574132822,29559779.343542144,4248,0.8858758911961926,29691975.43709711,4267,0.8934369242003057,29854493.729420096,4291,0.9034880002675308,30070533.484512452,4322,0.9193297401724323,30411038.8778058,4371
3,HBNN,0.7785861492156982,0.0583727024495601,0.8060419023273572,27976008.381638225,4021,27385869.16286733,0.8533937774250011,28993798.65910086,4167,0.8568496438550471,29068079.714401357,4178,0.8606039733259916,29148775.991497867,4189,0.8647320597813314,29237505.872840602,4202,0.8693424856295333,29336603.24952497,4216,0.8746007005548162,29449624.32876895,4232,0.8807784263354905,29582409.550546017,4251,0.8883731548733458,29745652.101128384,4275,0.8984690232821179,29962654.631393578,4306,0.9143813614612509,30304677.477522112,4355
4,HBNN,0.7760485410690308,0.0582663379609584,0.8134905652887071,28136111.370728415,4044,27331325.32707704,0.8507198577014478,28936324.916155387,4159,0.8541694269848811,29010470.619379856,4169,0.857916915461363,29091019.854830436,4181,0.8620374798766686,29179588.05600322,4194,0.8666395047845852,29278504.86126721,4208,0.8718881383932935,29391319.99785665,4224,0.8780546073601522,29523863.2635204,4243,0.8856354970763819,29686808.359818794,4266,0.8957129691828547,29903415.476437062,4298,0.9115963125126515,30244815.101717632,4347
5,HBNN,0.7711431980133057,0.0584952160716056,0.8562039240091545,29054200.488293435,4176,27225888.943418723,0.8461078337467415,28837193.189463567,4144,0.8495709534081077,28911630.14710801,4155,0.8533331625296856,28992495.790925223,4167,0.8574699130831833,29081411.90005408,4180,0.8620900153716755,29180717.264000356,4194,0.8673592663279962,29293975.553810313,4210,0.8735499580247517,29427039.467472307,4229,0.8811606265082078,29590624.634300016,4253,0.8912776842975387,29808082.613171503,4284,0.907223419563045,30150823.302674476,4333
6,HBNN,0.7685844898223877,0.0584104359149932,0.8775495897033515,29513008.317227803,4242,27170891.57923388,0.8434404754133897,28779860.47829646,4136,0.8468985757954547,28854189.550589744,4147,0.850655332151833,28934937.991626833,4158,0.854786087097769,29023725.230017815,4171,0.8593994932319108,29122886.665539287,4185,0.8646611071889808,29235980.80422386,4202,0.8708428263945338,29368851.86144054,4221,0.8784424643406352,29532199.935784545,4244,0.8885448589523348,29749342.741506096,4275,0.9044674832350309,30091586.679115754,4325
7,HBNN,0.770065426826477,0.0580935999751091,0.8704182465897544,29359725.861753717,4219,27202723.12299405,0.8445153708226999,28802964.486208055,4139,0.8479547134182904,28876890.37504428,4150,0.8516910919875073,28957200.812019095,4162,0.8557994404643727,29045506.441470087,4174,0.8603878220828491,29144129.99525636,4189,0.8656208954482032,29256610.676993314,4205,0.8717690831317959,29388761.001251277,4224,0.8793274983341579,29551223.026041772,4247,0.8893750944900383,29767187.983252827,4278,0.9052113496239511,30107575.485827487,4327
8,HBNN,0.7842249870300293,0.0570681020617485,0.8018119957231918,27885089.95850468,4008,27507071.42342787,0.8573607025699221,29079064.508353863,4179,0.8607393321324657,29151685.41962324,4190,0.8644097542378396,29230578.17572487,4201,0.868445580047971,29317324.98907945,4213,0.8729529652093941,29414207.589496348,4227,0.8780936616895331,29524702.704760157,4243,0.8841333184223296,29654520.24396375,4262,0.8915583086170891,29814114.406072393,4285,0.901428539471171,30026267.039497804,4315,0.9169852449369236,30360645.847934484,4363
9,HBNN,0.8044092655181885,0.0563153848052024,0.786699578229252,27560260.76087374,3961,27940916.173197214,0.8765803350795422,29492174.972603872,4239,0.8799144011699651,29563838.02806372,4249,0.8835364111158716,29641690.20393246,4260,0.8875190051621638,29727292.84355419,4272,0.891966938782878,29822897.581162296,4286,0.8970398304681935,29931935.287172634,4302,0.9029998252938624,30060040.558078688,4320,0.9103268813003912,30217529.703978222,4343,0.9200669257136848,30426884.085097495,4373,0.935418441235563,30756852.50155967,4420
10,HBNN,0.8162193298339844,0.0566224940121173,0.7866658993466044,27559536.860516176,3961,28194763.958782025,0.888783975680253,29754482.36227828,4276,0.8921362237008248,29826536.22362898,4287,0.8957779858442129,29904812.957015537,4298,0.899782298490196,29990882.420380995,4310,0.9042544883842428,30087008.526976377,4324,0.9093550444768536,30196640.85705849,4340,0.9153475414205575,30325444.734718025,4358,0.9227145546495571,30483792.72881441,4381,0.9325077152286272,30694288.798979618,4411,0.9479429484019637,31026056.658685185,4459
11,HBNN,0.8025655746459961,0.0584571920335292,0.7953153949390118,27745450.776295748,3988,27901287.528280944,0.8774814806139067,29511544.367407426,4241,0.880942349120346,29585932.938296475,4252,0.8847021126678668,29666746.016476255,4264,0.8888361741816254,29755604.326869655,4276,0.8934532732340048,29854845.138683412,4291,0.8987190989837452,29968029.806446757,4307,0.9049057665036089,30101007.22367948,4326,0.9125114877731281,30264486.05414278,4350,0.922621969103452,30481802.67734411,4381,0.9385573390555939,30824320.572815318,4430
12,HBNN,0.779774010181427,0.0595097877085208,0.7940678088752154,27718634.92236364,3984,27411401.27409636,0.8560388717845087,29050652.824147686,4175,0.8595620576054624,29126380.85533687,4186,0.8633895204507334,29208649.07519582,4198,0.8675980209705091,29299107.39184941,4211,0.8722982567306995,29400135.15999247,4225,0.8776589003328996,29515357.86084668,4242,0.883956966625908,29650729.704656895,4261,0.8916996385260508,29817152.178218886,4285,0.9019921718597326,30038381.862067305,4317,0.9182144783017661,30387067.225438323,4367
13,HBNN,0.7631018161773682,0.0593727082014083,0.7870965010581666,27568792.296221375,3962,27053045.941254508,0.8391910033235057,28688521.51086351,4123,0.8427060735622267,28764075.104172982,4134,0.8465247199297294,28846153.82096926,4146,0.8507235262597064,28936403.76884961,4159,0.8554129351286218,29037198.82171683,4173,0.860761230604386,29152156.109575134,4190,0.8670447894380932,29287216.12727504,4209,0.8747696262612062,29453255.250273593,4233,0.8850384509672715,29673975.3363367,4265,0.9012233896777615,30021857.510525085,4315
14,HBNN,0.7590518593788147,0.0586098209023475,0.797003345763423,27781731.914780296,3993,26965995.393726844,0.8341633671125068,28580456.53469051,4108,0.8376332717773192,28655039.330499243,4118,0.8414028518835442,28736063.40767297,4130,0.8455477072296872,28825153.72276808,4143,0.8501768613018353,28924653.647486866,4157,0.8554564358650172,29038133.83488103,4173,0.8616592564711387,29171458.449645218,4192,0.8692848359068395,29335364.115337882,4216,0.8794217152093371,29553248.1416118,4247,0.8953986916329053,29896660.33455295,4297
15,HBNN,0.7613213658332825,0.0581411868333816,0.7954263384203334,27747835.416743547,3988,27014776.600368246,0.8358322948422238,28616328.787132274,4113,0.8392744547448622,28690315.231706068,4123,0.8430138939355158,28770691.45426456,4135,0.8471256077296759,28859069.41849038,4148,0.8517177478803464,28957773.75888789,4162,0.8569551078714334,29070346.578179795,4178,0.8631083317885536,29202605.1522063,4197,0.8706729383998343,29365200.256326564,4220,0.8807287649551812,29581342.11932096,4251,0.896577992217331,29922008.44730581,4300
16,HBNN,0.7592309713363647,0.0584767274558544,0.7922214639433095,27678949.230579287,3978,26969845.26046593,0.8341719129553399,28580640.22067401,4108,0.8376339380265324,28655053.650987502,4118,0.8413949580245632,28735893.735555325,4130,0.8455304010729933,28824781.740919694,4143,0.850149043083164,28924055.717363898,4157,0.8554166285843796,29037278.209562674,4173,0.8616053635857384,29170300.065638844,4192,0.8692136265609385,29333833.52801113,4216,0.8793274866461397,29551222.774817266,4247,0.8952681819341572,29893855.134078283,4296
17,HBNN,0.7571272253990173,0.0585361272096633,0.7894385102679656,27619131.89097968,3969,26924626.94214446,0.8321442908654793,28537058.12291816,4101,0.8356098326081043,28611547.141241327,4112,0.8393746729919821,28692469.341914643,4124,0.843514316759393,28781447.638337784,4136,0.8481376503145642,28880822.45574927,4151,0.8534105865475248,28994159.957601544,4167,0.85960560797002,29127316.935218297,4186,0.8672215993008806,29291016.51234814,4210,0.8773457328884691,29508626.579783324,4241,0.8933026204878017,29851606.9796867,4290
18,HBNN,0.7562094926834106,0.0584490820765495,0.7848501616939664,27520509.04745773,3955,26904901.019288655,0.8311150053232574,28514934.462230045,4098,0.834575393692117,28589312.712949947,4109,0.8383346356353738,28670114.57966772,4120,0.8424681236172904,28758960.562457804,4133,0.847084582124454,28858187.606269937,4147,0.8523496773290073,28971356.571555037,4164,0.8585354865523007,29104315.5403968,4183,0.8661401526552928,29267771.69090857,4206,0.8762492313255542,29485058.16506572,4238,0.8921823905118302,29827528.54191175,4287
19,HBNN,0.75599604845047,0.0583744533360004,0.7988256284715406,27820900.40851546,3998,26900313.208043177,0.8308059205110315,28508290.934045654,4097,0.8342618905996272,28582574.217402883,4108,0.8380163326815059,28663272.91498039,4119,0.8421445429586031,28752005.457771707,4132,0.8467551070963096,28851105.80687719,4146,0.8520134797414997,28964130.276183076,4163,0.8581913908227656,29096919.48084657,4182,0.8657863471641429,29260166.927881494,4205,0.875882518398009,29477175.967127293,4236,0.8917953338669707,29819209.072214868,4286
20,HBNN,0.7552364468574524,0.0583733804523944,0.8225366274700748,28330549.164765775,4072,26883986.185839213,0.830044943962349,28491934.358281147,4095,0.8335008505325143,28566216.276361063,4105,0.837255223610246,28646913.49075021,4117,0.8413833580135854,28735644.402696438,4130,0.8459938374121914,28834742.930403452,4144,0.8512521134119915,28947765.322394807,4160,0.8574299109473629,29080552.086481083,4179,0.8650247276984969,29243796.53313657,4203,0.8751207133714544,29460801.583900638,4234,0.8910332363734572,29802828.402647354,4283
21,HBNN,0.7526208162307739,0.0585040003061294,0.8088072088026707,28035446.40893862,4029,26827765.319912,0.8275967094137159,28439311.53573381,4087,0.8310603491322309,28513759.671586268,4098,0.8348231232252624,28594637.459008172,4110,0.8389604949951511,28683566.920681182,4122,0.8435812910850301,28782887.19732742,4137,0.8488513333254809,28896162.495150104,4153,0.8550429546792473,29029246.391038045,4172,0.8626547660578209,29192856.123472422,4196,0.872773343127091,29410346.758038063,4227,0.8887214729658227,29753138.91695682,4276
22,HBNN,0.7546194791793823,0.0581691525876522,0.810643885578053,28074924.29151393,4035,26870724.964336295,0.8291662477444908,28473047.493388575,4092,0.8326100633167713,28547069.525242932,4103,0.8363513011676039,28627484.408547986,4114,0.8404649926850246,28715904.882336568,4127,0.8450593416427392,28814656.699255962,4141,0.8502992207898756,28927283.665770747,4157,0.8564554043911271,29059605.855815135,4176,0.8640236495578134,29222279.167742547,4200,0.8740843129386493,29438524.99439089,4231,0.8899411636364243,29779355.181961965,4280
23,HBNN,0.7651458978652954,0.0574538633227348,0.8182381300529823,28238156.437555004,4058,27096981.824765384,0.8387759863531317,28679601.056571938,4122,0.8421774543202019,28752712.86088477,4132,0.8458726872499868,28832138.90560083,4144,0.8499357938912198,28919472.098366972,4156,0.8544736474670601,29017009.592722062,4170,0.8596490933340699,29128251.617966358,4186,0.8657295761240331,29258946.68026625,4205,0.8732047567662906,29419619.64547149,4228,0.8831417070759516,29633206.359660666,4259,0.8988035706615726,29969845.456877414,4307
24,HBNN,0.7711197137832642,0.0576408095657825,0.8098191918269481,28057198.165990327,4032,27225384.168877892,0.844989383521551,28813153.005992956,4141,0.8484019193545662,28886502.705137365,4151,0.8521091760173686,28966187.19027503,4163,0.8561855033974302,29053804.552135065,4176,0.8607381224673285,29151659.418848973,4190,0.8659304084579607,29263263.408937503,4206,0.8720306762257783,29394383.73334283,4224,0.8795301799832513,29555579.504247587,4248,0.8894994636369263,29769861.19752909,4278,0.9052122885746152,30107595.667812992,4327
25,HBNN,0.7726870775222778,0.0579270459711551,0.8304981245455455,28501675.108580075,4096,27259073.385440618,0.8469235739739857,28854726.866229527,4147,0.8503530559949086,28928440.80998425,4158,0.8540787223890965,29008520.997416202,4169,0.8581752922554309,29096573.455155283,4182,0.8627505190112278,29194914.255802236,4196,0.867968589186517,29307072.456096854,4212,0.8740991500527632,29438843.90616491,4231,0.8816358953239101,29600840.153301228,4254,0.8916546850816571,29816185.94027059,4285,0.9074455377667405,30155597.55390957,4334
26,HBNN,0.7741860747337341,0.0579040385782718,0.81005404410447,28062246.125848494,4033,27291293.11875884,0.8483930860250732,28886312.8398605,4151,0.8518212059285446,28959997.50600169,4162,0.8555453925671357,29040045.887283277,4174,0.8596403353628883,29128063.372455474,4186,0.8642137449357487,29226365.114224162,4200,0.8694297426043425,29338478.767662708,4216,0.8755578685419628,29470197.880908273,4235,0.8830916203778911,29632129.786574367,4259,0.8931064308850429,29847390.042768884,4290,0.9088910117786756,30186666.849320542,4338
27,HBNN,0.7736930847167969,0.058046605437994,0.8111142470125913,28085034.330323994,4036,27280696.69686234,0.8480828027904078,28879643.552554537,4151,0.8515193631464172,28953509.639400035,4161,0.8552527191902367,29033755.10963475,4173,0.8593577442384447,29121989.304673303,4185,0.8639424141077721,29220533.077412084,4199,0.8691712542037023,29332922.76844481,4216,0.8753144683405634,29464966.190336235,4235,0.8828667691994536,29627296.79225645,4258,0.8929062374009523,29843087.04565845,4289,0.9087296818727617,30183199.193406932,4338
28,HBNN,0.7793880105018616,0.0575768798589706,0.8041368764604945,27935061.390592795,4015,27403104.523014054,0.8531757510242988,28989112.357863426,4166,0.8565845019969532,29062380.704493936,4177,0.8602876469230657,29141976.811175253,4188,0.8643594532282803,29229496.99618615,4201,0.8689070229658644,29327243.33158368,4215,0.8740935501664385,29438723.541135136,4231,0.880187052097121,29569698.439340528,4250,0.887678238117906,29730715.427218977,4273,0.8976364647898017,29944759.45961525,4304,0.9133318625556828,30282119.346928716,4352
29,HBNN,0.7795640230178833,0.0579042434692382,0.8006300718735947,27859685.460787524,4004,27406887.76976298,0.8537712968875613,29001913.134773776,4168,0.8571994289212883,29075598.061645005,4179,0.8609236287377546,29155646.72617437,4190,0.8650185860232874,29243664.522792675,4203,0.8695920117789622,29341966.61239788,4217,0.8748080279041408,29454080.662545796,4233,0.880936175525873,29585800.24187382,4252,0.8884699540196603,29747732.72052904,4275,0.898484799963791,29962993.738412775,4306,0.9142694367104889,30302271.74548092,4355
30,HBNN,0.7769319415092468,0.0581785850226879,0.8232723578812865,28346363.095213525,4074,27350313.305426452,0.8514907982262422,28952895.659531854,4161,0.8549351722313898,29026929.694449276,4172,0.8586770167436816,29107357.61745199,4183,0.8627913753178887,29195792.429086965,4196,0.8673864692735299,29294560.259134557,4210,0.8726271980947196,29407205.48870627,4226,0.8787843799536266,29539549.135492004,4245,0.8863538523512023,29702248.825755328,4269,0.8964161471216929,29918529.71780554,4300,0.9122755690914811,30259415.172789995,4349
