,model,pred_norm_gpu,true_norm_gpu,true_gpu,true_n_gpu,pred_gpu,ub_90_norm,ub_90,pred_n_gpu_90,ub_91_norm,ub_91,pred_n_gpu_91,ub_92_norm,ub_92,pred_n_gpu_92,ub_93_norm,ub_93,pred_n_gpu_93,ub_94_norm,ub_94,pred_n_gpu_94,ub_95_norm,ub_95,pred_n_gpu_95,ub_96_norm,ub_96,pred_n_gpu_96,ub_97_norm,ub_97,pred_n_gpu_97,ub_98_norm,ub_98,pred_n_gpu_98,ub_99_norm,ub_99,pred_n_gpu_99
0,LSTMQ,0.8355756,0.8048845367014169,29189797.053941973,4195,28610811.33900268,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241,0.87735438,29508812.442455627,4241
1,LSTMQ,0.8221728,0.8143601653995144,29408050.413501136,4226,28322728.987403158,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197,0.8632814400000001,29206325.973276127,4197
2,LSTMQ,0.8204141,0.7977216888181714,29024814.268700138,4171,28284927.15258073,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192,0.861434805,29166634.046712577,4192
3,LSTMQ,0.8089965,0.8060419023273572,29216454.803432565,4199,28039515.070208184,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155,0.8494463250000001,28908951.360221405,4155
4,LSTMQ,0.8224286,0.8134905652887071,29388020.80367748,4224,28328227.201622512,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198,0.86355003,29212099.09820645,4198
5,LSTMQ,0.8006064,0.8562039240091545,30371843.02126449,4365,27859176.653000202,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128,0.84063672,28719596.022153024,4128
6,LSTMQ,0.81435114,0.8775495897033515,30863500.450889263,4436,28154608.72848622,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172,0.855068697,29029799.70141334,4172
7,LSTMQ,0.82143515,0.8704182465897544,30699243.31900901,4412,28306873.796946134,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195,0.8625069075,29189678.023296256,4195
8,LSTMQ,0.87270874,0.8018119957231918,29119026.82726398,4185,29408958.16604437,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361,0.916344177,30346866.6108494,4361
9,LSTMQ,0.8905853,0.786699578229252,28770940.59528918,4135,29793200.372397516,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419,0.935114565,30750320.927520204,4419
