,model,pred_norm_gpu,pred_std,true_norm_gpu,true_gpu,true_n_gpu,ub_90_norm,ub_90,pred_n_gpu_90,ub_91_norm,ub_91,pred_n_gpu_91,ub_92_norm,ub_92,pred_n_gpu_92,ub_93_norm,ub_93,pred_n_gpu_93,ub_94_norm,ub_94,pred_n_gpu_94,ub_95_norm,ub_95,pred_n_gpu_95,ub_96_norm,ub_96,pred_n_gpu_96,ub_97_norm,ub_97,pred_n_gpu_97,ub_98_norm,ub_98,pred_n_gpu_98,ub_99_norm,ub_99,pred_n_gpu_99
0,LSTMQ,0.88146394,0,0.8048845367014169,29189797.053941973,4195,0.84938174,28907563.15785488,4155,0.86408883,29223680.168657538,4200,0.8456979,28828381.99495486,4143,0.8518752,28961158.064920522,4162,0.86143696,29166680.366695542,4192,0.88146394,29597144.11261704,4254,0.88281286,29626138.057592686,4258,0.85800254,29092860.285072267,4181,0.89694744,29929949.428744353,4301,1.0002664,32150706.95415823,4621
1,LSTMQ,0.86538,0,0.8143601653995144,29408050.413501136,4226,0.8403974,28714452.032211754,4127,0.8527366,28979673.161591947,4165,0.84593445,28833466.445985306,4144,0.8469439,28855163.757727787,4147,0.85901165,29114550.288789596,4184,0.86538,29251432.824066464,4204,0.8874456,29725715.058931895,4272,0.8541471,29009990.71888827,4169,0.89622205,29914357.757076737,4299,0.9939272,32014450.974567417,4601
2,LSTMQ,0.8731032,0,0.7977216888181714,29024814.268700138,4171,0.8398681,28703075.15658117,4125,0.85096854,28941670.141135845,4159,0.84904695,28900367.11743855,4153,0.85080546,28938164.86836457,4159,0.870031,29351402.309344865,4218,0.8731032,29417436.764875352,4228,0.88759094,29728839.024743628,4273,0.8494914,28909920.2109092,4155,0.89144856,29811755.44826538,4284,0.98962224,31921919.339361202,4588
3,LSTMQ,0.87639225,0,0.8060419023273572,29216454.803432565,4199,0.8314188,28521464.2832286,4099,0.8456279,28826877.401540652,4143,0.8423233,28755847.695874985,4133,0.8441281,28794640.412931632,4138,0.8510745,28943947.665681127,4160,0.87639225,29488132.23586115,4238,0.8692231,29334037.151925724,4216,0.84542876,28822597.04821914,4142,0.89266425,29837885.722089957,4288,0.979597,31706434.909648787,4557
4,LSTMQ,0.8770449,0,0.8134905652887071,29388020.80367748,4224,0.8440773,28793548.50799675,4138,0.8567958,29066922.384262793,4177,0.84549946,28824116.68756749,4143,0.84528404,28819486.40880622,4142,0.8562023,29054165.581529457,4176,0.8770449,29502160.42002949,4240,0.8750629,29459558.93221573,4234,0.8462014,28839204.320441354,4145,0.9023239,30045512.09028379,4318,0.96824557,31462445.0979365,4522
5,LSTMQ,0.84463674,0,0.8562039240091545,30371843.02126449,4365,0.8215844,28310081.805047147,4069,0.83493054,28596946.295748826,4110,0.839443,28693937.97571859,4124,0.8332465,28560749.217273608,4105,0.84209895,28751025.473982446,4132,0.84463674,28805573.21856311,4140,0.8630568,29201497.51806801,4197,0.8433548,28778018.954542942,4136,0.88126975,29592970.155544102,4253,0.9665259,31425482.18141345,4516
6,LSTMQ,0.86365706,0,0.8775495897033515,30863500.450889263,4436,0.8250758,28385126.62570959,4079,0.8338175,28573022.400695227,4106,0.8347085,28592173.725438952,4109,0.8372988,28647850.13002219,4117,0.85417616,29010615.340097085,4169,0.86365706,29214399.621536776,4199,0.8704986,29361452.993351784,4220,0.8366826,28634605.409138825,4115,0.8859853,29694327.090892326,4268,0.9640764,31372832.159011934,4509
7,LSTMQ,0.86353976,0,0.8704182465897544,30699243.31900901,4412,0.83159953,28525348.928482167,4100,0.8415019,28738192.36686882,4130,0.8434339,28779719.145101,4136,0.8378734,28660200.692533687,4119,0.84949154,28909923.22009603,4155,0.86353976,29211878.35285839,4198,0.8731162,29417716.189366564,4228,0.8451026,28815586.50267659,4141,0.8944976,29877292.098317686,4294,0.9598863,31282769.34665652,4496
8,LSTMQ,0.9272547,0,0.8018119957231918,29119026.82726398,4185,0.8849476,29672022.568236247,4264,0.90074176,30011505.269935828,4313,0.88996875,29779948.128547076,4280,0.88757133,29728417.523645733,4272,0.90795213,30166486.34445031,4335,0.9272547,30581379.483011983,4395,0.92151856,30458085.790626504,4377,0.88679177,29711661.51161743,4270,0.9385668,30824523.9281674,4430,0.9731396,31567638.31660712,4537
9,LSTMQ,0.9434557,0,0.786699578229252,28770940.59528918,4135,0.91058636,30223106.98887192,4344,0.92370784,30505142.59448165,4384,0.9269283,30574363.77886344,4394,0.91644895,30349118.621789213,4362,0.92176265,30463332.307861853,4378,0.9434557,30929606.881634947,4445,0.93891174,30831938.134628788,4431,0.9189103,30402023.35036156,4369,0.97120655,31526088.96947373,4531,0.99438405,32024270.5960143,4602
10,LSTMQ,0.9315638,0,0.7866658993466044,28770164.86530669,4135,0.8950661,29889511.54626023,4296,0.91055954,30222530.514652364,4343,0.90906775,30190465.694518313,4339,0.90469646,30096508.34958118,4325,0.9154169,30326935.541315854,4358,0.9315638,30674000.104171555,4408,0.9272641,30581581.528413318,4395,0.912559,30265507.29105201,4350,0.94980556,31066091.989308547,4465,1.011419,32390423.07574841,4655
11,LSTMQ,0.8422589,0,0.7953153949390118,28969389.796092987,4163,0.81158143,28095076.050982364,4038,0.8249537,28382502.184911378,4079,0.82962227,28482849.323136747,4093,0.8273911,28434892.12759415,4087,0.8302408,28496144.125486616,4095,0.8422589,28754463.469933916,4133,0.8499351,28919457.183736123,4156,0.84565145,28827383.589753572,4143,0.87055117,29362582.943005856,4220,1.0031099,32211825.688062582,4629
12,LSTMQ,0.8327022,0,0.7940678088752154,28940653.98779592,4159,0.79209036,27676131.25729814,3978,0.8069491,27995507.862261724,4023,0.79153395,27664171.67413242,3976,0.8024664,27899155.84943491,4010,0.8136064,28138601.14421053,4044,0.8327022,28549049.928768545,4103,0.83252966,28545341.320944436,4102,0.8028081,27906500.414715417,4011,0.8423539,28756505.418138914,4133,0.98523545,31827628.834453776,4574
13,LSTMQ,0.8347749,0,0.7870965010581666,28780082.969231475,4136,0.80721915,28001312.368711825,4024,0.8171629,28215045.23674819,4055,0.8094966,28050264.31544313,4031,0.81241125,28112912.36108207,4040,0.8208987,28295343.237845384,4067,0.8347749,28593600.93976329,4109,0.8467808,28851658.05507268,4146,0.81095666,28081647.12487671,4036,0.86547226,29253415.87818639,4204,0.9696002,31491561.774746366,4526
14,LSTMQ,0.853556,0,0.797003345763423,29008268.581863936,4169,0.82555234,28395369.467789695,4081,0.83589756,28617731.60894038,4113,0.8254146,28392408.857834365,4080,0.8320044,28534051.281848043,4101,0.8505382,28932420.33070912,4158,0.853556,28997285.502214853,4167,0.8695854,29341824.49755384,4217,0.82905716,28470702.74050383,4092,0.8799906,29565475.86031859,4249,0.9568062,31216565.08701214,4486
15,LSTMQ,0.85799384,0,0.7954263384203334,28971945.1713922,4164,0.8229906,28340306.937319454,4073,0.8343223,28583872.668630846,4108,0.8422375,28754003.494232997,4132,0.83696383,28640650.22065137,4116,0.8488299,28895701.803144917,4153,0.85799384,29092673.285605073,4181,0.8703425,29358097.7500381,4219,0.83967406,28698904.42363698,4125,0.8879138,29735778.639453795,4274,0.94858015,31039752.791941315,4461
