,model,pred_norm_gpu,pred_std,true_norm_gpu,true_gpu,true_n_gpu,pred_gpu,ub_90_norm,ub_90,pred_n_gpu_90,ub_91_norm,ub_91,pred_n_gpu_91,ub_92_norm,ub_92,pred_n_gpu_92,ub_93_norm,ub_93,pred_n_gpu_93,ub_94_norm,ub_94,pred_n_gpu_94,ub_95_norm,ub_95,pred_n_gpu_95,ub_96_norm,ub_96,pred_n_gpu_96,ub_97_norm,ub_97,pred_n_gpu_97,ub_98_norm,ub_98,pred_n_gpu_98,ub_99_norm,ub_99,pred_n_gpu_99
0,MCD,0.810325,2.3841858e-07,0.8048845367014169,27951131.743086483,4017,28068070.10379072,0.8103253055457044,28068076.671248637,4034,0.8103253196609113,28068076.974643603,4034,0.8103253349951661,28068077.304241013,4034,0.8103253518560013,28068077.666651037,4034,0.8103253706869126,28068078.071406253,4034,0.8103253921636661,28068078.533031706,4034,0.8103254173960871,28068079.0753822,4034,0.8103254484161413,28068079.74213319,4034,0.8103254896518989,28068080.628462464,4034,0.8103255546445567,28068082.025427107,4034
1,MCD,0.79812235,5.9604645e-08,0.8143601653995144,28154802.722152933,4046,27805784.006277815,0.798122426386426,27805785.648142293,3996,0.7981224299152277,27805785.723991033,3996,0.7981224337487915,27805785.80639039,3996,0.7981224379640003,27805785.896992892,3996,0.7981224426717282,27805785.9981817,3996,0.7981224480409165,27805786.11358806,3996,0.7981224543490217,27805786.249175686,3996,0.7981224621040353,27805786.415863432,3996,0.7981224724129747,27805786.637445755,3996,0.7981224886611391,27805786.98668691,3996
2,MCD,0.7954903,1.7881393e-07,0.7977216888181714,27797172.118056264,3995,27749210.219193958,0.7954905291592719,27749215.14478726,3988,0.7954905397456767,27749215.372333474,3988,0.7954905512463676,27749215.619531527,3988,0.7954905638919936,27749215.89133904,3988,0.7954905780151766,27749216.19490544,3988,0.7954905941227413,27749216.541124523,3988,0.7954906130470566,27749216.94788738,3988,0.7954906363120966,27749217.447950613,3988,0.7954906672389139,27749218.11269755,3988,0.7954907159834059,27749219.160421003,3988
3,MCD,0.78674257,1.1920929e-07,0.8060419023273572,27976008.381638225,4021,27561184.834232777,0.7867427227728523,27561188.117961742,3961,0.7867427298304557,27561188.269659225,3961,0.7867427374975832,27561188.434457928,3961,0.7867427459280006,27561188.615662936,3961,0.7867427553434564,27561188.818040546,3961,0.786742766081833,27561189.04885327,3961,0.7867427786980435,27561189.320028517,3961,0.7867427942080707,27561189.653404016,3961,0.7867428148259495,27561190.096568655,3961,0.7867428473222784,27561190.795050975,3961
4,MCD,0.7980391,1.1920929e-07,0.8134905652887071,28136111.370728415,4044,27803994.61482449,0.7980392527728523,27803997.89855345,3996,0.7980392598304556,27803998.05025093,3996,0.7980392674975831,27803998.21504964,3996,0.7980392759280006,27803998.396254648,3996,0.7980392853434564,27803998.598632257,3996,0.798039296081833,27803998.829444982,3996,0.7980393086980435,27803999.10062023,3996,0.7980393242080707,27803999.433995724,3996,0.7980393448259495,27803999.877160363,3996,0.7980393773222784,27804000.575642683,3996
5,MCD,0.7820129,1.7881393e-07,0.8562039240091545,29054200.488293435,4176,27459524.40089872,0.7820131291592719,27459529.326492023,3946,0.7820131397456768,27459529.554038238,3946,0.7820131512463676,27459529.80123629,3946,0.7820131638919936,27459530.0730438,3946,0.7820131780151767,27459530.376610205,3946,0.7820131941227413,27459530.722829286,3946,0.7820132130470566,27459531.129592143,3946,0.7820132363120966,27459531.629655376,3946,0.782013267238914,27459532.294402312,3946,0.782013315983406,27459533.342125766,3946
6,MCD,0.78914315,5.9604645e-08,0.8775495897033515,29513008.317227803,4242,27612783.360779677,0.7891432263864261,27612785.00264416,3968,0.7891432299152278,27612785.0784929,3968,0.7891432337487916,27612785.160892256,3968,0.7891432379640003,27612785.251494758,3968,0.7891432426717282,27612785.352683563,3968,0.7891432480409165,27612785.468089923,3968,0.7891432543490218,27612785.60367755,3968,0.7891432621040353,27612785.770365298,3968,0.7891432724129748,27612785.991947617,3968,0.7891432886611391,27612786.341188777,3968
7,MCD,0.80095476,1.7881393e-07,0.8704182465897544,29359725.861753717,4219,27866664.369596973,0.8009549891592719,27866669.295190275,4005,0.8009549997456767,27866669.52273649,4005,0.8009550112463676,27866669.769934542,4005,0.8009550238919936,27866670.041742057,4005,0.8009550380151766,27866670.345308457,4005,0.8009550541227413,27866670.691527538,4005,0.8009550730470566,27866671.098290395,4005,0.8009550963120966,27866671.598353628,4005,0.8009551272389139,27866672.263100564,4005,0.8009551759834059,27866673.310824018,4005
8,MCD,0.84756666,5.9604645e-08,0.8018119957231918,27885089.95850468,4008,28868549.480508264,0.8475667363864261,28868551.122372743,4149,0.8475667399152278,28868551.198221482,4149,0.8475667437487916,28868551.280620836,4149,0.8475667479640003,28868551.37122334,4149,0.8475667526717282,28868551.472412147,4149,0.8475667580409165,28868551.58781851,4149,0.8475667643490218,28868551.723406132,4149,0.8475667721040353,28868551.890093878,4149,0.8475667824129748,28868552.111676197,4149,0.8475667986611392,28868552.460917357,4149
9,MCD,0.87331027,2.9802322e-07,0.786699578229252,27560260.76087374,3961,29421887.567136504,0.8733106519321242,29421895.77645877,4228,0.8733106695761325,29421896.155702464,4228,0.8733106887439508,29421896.567699227,4228,0.8733107098199944,29421897.020711746,4228,0.8733107333586331,29421897.526655756,4228,0.8733107602045744,29421898.103687566,4228,0.8733107917451002,29421898.78162567,4228,0.8733108305201673,29421899.615064394,4228,0.8733108820648635,29421900.72297597,4228,0.8733109633056844,29421902.469181743,4228
10,MCD,0.86069167,2.3841858e-07,0.7866658993466044,27559536.860516176,3961,29150660.960614454,0.8606919755457044,29150667.528072376,4189,0.8606919896609113,29150667.831467338,4189,0.8606920049951662,29150668.161064748,4189,0.8606920218560014,29150668.52347477,4189,0.8606920406869126,29150668.928229988,4189,0.8606920621636661,29150669.38985544,4189,0.8606920873960872,29150669.932205934,4189,0.8606921184161413,29150670.598956928,4189,0.8606921596518989,29150671.4852862,4189,0.8606922246445567,29150672.882250845,4189
11,MCD,0.7763373,1.7881393e-07,0.7953153949390118,27745450.776295748,3988,27337531.966874618,0.7763375291592719,27337536.89246792,3929,0.7763375397456768,27337537.120014135,3929,0.7763375512463676,27337537.367212187,3929,0.7763375638919936,27337537.639019698,3929,0.7763375780151767,27337537.9425861,3929,0.7763375941227413,27337538.288805183,3929,0.7763376130470566,27337538.69556804,3929,0.7763376363120966,27337539.195631273,3929,0.776337667238914,27337539.86037821,3929,0.776337715983406,27337540.908101663,3929
12,MCD,0.75401694,1.7881393e-07,0.7940678088752154,27718634.92236364,3984,26857773.871749125,0.7540171691592719,26857778.79734243,3860,0.7540171797456767,26857779.024888646,3860,0.7540171912463676,26857779.2720867,3860,0.7540172038919936,26857779.543894205,3860,0.7540172180151766,26857779.84746061,3860,0.7540172341227412,26857780.193679687,3860,0.7540172530470566,26857780.60044255,3860,0.7540172763120966,26857781.100505777,3860,0.7540173072389139,26857781.765252717,3860,0.7540173559834059,26857782.812976167,3860
