qos,model,energy_cost
90,oracle,83244.80446000061
90,naive,119106.94917599489
90,HBNN,85126.2692440008
90,MCD,82144.92923600058
90,HBNN++,85540.56815600055
90,LSTMQ,83561.94833200048
90,LSTM,83619.59695200062
90,PROPHET,89729.91509200062
91,oracle,83244.80446000061
91,naive,119106.94917599489
91,HBNN,85215.31935000057
91,MCD,82144.92923600058
91,HBNN++,85669.75528200057
91,LSTMQ,84053.24529200021
91,LSTM,83643.65315400064
91,PROPHET,89877.34982400064
92,oracle,83244.80446000061
92,naive,119106.94917599489
92,HBNN,85309.83234800037
92,MCD,82144.92923600058
92,HBNN++,85806.43425800069
92,LSTMQ,84157.29512400049
92,LSTM,83666.99152800045
92,PROPHET,90037.42621200078
93,oracle,83244.80446000061
93,naive,119106.94917599489
93,HBNN,85412.43659000067
93,MCD,82144.92923600058
93,HBNN++,85953.28531600029
93,LSTMQ,84155.82994400065
93,LSTM,83691.8592600006
93,PROPHET,90212.24748000076
94,oracle,83244.80446000061
94,naive,119106.94917599489
94,HBNN,85525.51993000058
94,MCD,82144.92923600058
94,HBNN++,86117.40686200048
94,LSTMQ,84327.91907800057
94,LSTM,83723.50511800067
94,PROPHET,90405.13995600058
95,oracle,83244.80446000061
95,naive,119106.94917599489
95,HBNN,85650.46145400073
95,MCD,82144.92923600058
95,HBNN++,86299.25275200036
95,LSTMQ,84733.89019800047
95,LSTM,83757.18530800044
95,PROPHET,90623.46015200039
96,oracle,83244.80446000061
96,naive,119106.94917599489
96,HBNN,85796.91129800078
96,MCD,82144.92923600058
96,HBNN++,86511.36494800069
96,LSTMQ,85087.31908200047
96,LSTM,83795.61316000072
96,PROPHET,90876.76559200067
97,oracle,83244.80446000061
97,naive,119106.94917599489
97,HBNN,85974.03948800046
97,MCD,82144.92923600058
97,HBNN++,86763.12455800039
97,LSTMQ,84883.84365600048
97,LSTM,83842.80522800052
97,PROPHET,91186.59215600062
98,oracle,83244.80446000061
98,naive,119106.94917599489
98,HBNN,86207.70266800071
98,MCD,82144.92923600058
98,HBNN++,87089.85978800029
98,LSTMQ,85981.631364
98,LSTM,83905.79474000055
98,PROPHET,91594.71108000063
99,oracle,83244.80446000061
99,naive,119106.94917599489
99,HBNN,86568.66365600067
99,MCD,82144.92923600058
99,HBNN++,87598.1418040004
99,LSTMQ,87410.67164800041
99,LSTM,84000.59491600076
99,PROPHET,92233.22736000075
